Name                          USS      PSS      RSS      VSS 
rund-29960a79               11500    12012    61812  2863244 
rund-86f0c6d4               11888    12395    61852  2863244 
rund-8eef1700               11912    12422    62128  2863244 
rund-da92f312               12876    13392    63252  2998444 
rund-508d14cb               13356    13862    63576  2998444 
rund-98a36a40               13368    13885    63476  2863244 
rund-60abefb9               13484    13993    63776  2998444 
rund-5d3f0871               13520    14034    63972  2863244 
rund-47d09918               13528    14039    63876  2863244 
rund-a7b66ac0               13552    14063    63932  2863244 
rund-21be80ab               13560    14065    63764  2863244 
rund-cd203a08               13556    14070    63668  2998444 
rund-2d1ac897               13560    14073    63760  2998444 
rund-4abac42e               13564    14075    63988  2863244 
rund-3ea9b881               13576    14093    63980  2863244 
rund-1152756c               13596    14104    63896  2998444 
rund-78566fc6               13604    14112    63932  2863244 
rund-728631cf               13608    14120    63680  2863244 
rund-7f8d88f8               13672    14188    64052  2863244 
rund-a44adaaa               13736    14245    64000  2863244 
rund-3b434701               13736    14249    63996  2998444 
rund-be61a9bf               13780    14290    64068  2998444 
rund-011044db               13788    14293    63948  2998444 
rund-df9e86ee               13788    14297    64148  2863244 
rund-099e4382               13880    14389    63828  2863240 
rund-73b7ba13               13892    14407    64288  2863244 
rund-f6606de0               13952    14458    64040  2998444 
rund-d55ea20c               13956    14472    64208  2998444 
rund-bff21230               14072    14581    64304  2998444 
rund-cb623140               14080    14583    63920  2863244 
rund-7331a66e               14248    14750    64072  2998444 
rund-9838800a               15412    15925    65856  2998444 
rund-7cc9d2e7               15480    15995    65744  2863244 
rund-10e3c2cb               15496    16011    65760  2998476 
rund-d7275012               15540    16042    65176  2998444 
rund-ad58ac95               15544    16048    65516  2863244 
rund-87eeb7f6               15584    16091    65564  2998444 
rund-b68576d6               15596    16099    65240  2998444 
rund-cc27d350               15604    16117    66116  2998444 
rund-f0fbdf02               15620    16123    65556  2863244 
rund-bc618929               15632    16148    65992  2863244 
rund-56843a31               15644    16166    66100  2863244 
rund-85cbdf7d               15656    16168    65996  2998444 
rund-8bc4bea1               15672    16172    65484  2998440 
rund-f496bddd               15700    16203    65576  2998440 
rund-478d9314               15740    16249    65944  2863244 
rund-293e7c8a               15740    16255    66088  2998444 
rund-07eb08ac               15748    16261    66184  2863244 
rund-bc2fce64               15804    16322    66300  2998444 
rund-4e96be67               15828    16331    65824  2863244 
rund-521cdd01               15844    16349    65920  2863244 
rund-57c13df6               15856    16363    66072  2998444 
rund-65e4e74f               15896    16408    66060  2863244 
rund-3cb38176               15936    16446    66356  2998444 
rund-16f85dc3               15960    16473    66336  2863244 
rund-76fdf9ce               15964    16474    66260  2998444 
rund-ba642cc0               15988    16506    66512  2863244 
rund-c569cb13               16012    16521    66036  2863244 
rund-cebb423a               16028    16529    65876  2863244 
rund-a923289f               16028    16541    66120  2863244 
rund-3440b4c8               16128    16647    66432  2998444 
rund-a1fb5154               16152    16657    66300  2998444 
rund-45e5330d               16156    16668    66568  2998444 
rund-a6be3a09               16192    16706    66436  2998444 
rund-563606e4               16992    17500    67264  2998444 
rund-80f7eb96               17540    18045    67580  2863244 
rund-eaec4428               17584    18092    67784  2863244 
rund-a624c7ca               17596    18103    67732  2863244 
rund-c2646ec7               17620    18122    67464  2863276 
rund-1c4960ee               17624    18135    68004  2863244 
rund-64da5a9e               17624    18135    67744  2863244 
rund-e1573407               17640    18144    67688  2863244 
rund-6261e5df               17636    18147    67924  2863244 
rund-999fa1bf               17632    18148    67508  2863244 
rund-5fd5b628               17680    18190    67788  2998444 
rund-07ce727f               17772    18290    68200  2998456 
rund-81346864               17800    18307    67852  2998444 
rund-01562278               17812    18329    68168  2863244 
rund-ab610bcd               17860    18374    68072  2863244 
rund-baa00163               17868    18382    68212  2863244 
rund-93621256               17956    18471    68496  2863244 
rund-e8009674               17984    18490    67896  2863240 
rund-b23165a1               18032    18537    67944  2998444 
rund-c75784be               18028    18541    68420  2863244 
rund-ba6f351e               18052    18569    68452  2863244 
rund-3446bbb0               18136    18646    68356  2863244 
rund-42786788               18148    18658    68308  2863244 
rund-b1a61b29               18164    18678    68468  2998444 
rund-b377c5c7               19568    20078    69496  2863240 
rund-960b66b8               19600    20112    69344  2863240 
rund-2180f7bc               19620    20134    70020  2863244 
rund-69fbc0c9               19644    20162    70020  2998444 
rund-db42b247               19684    20190    69624  2863240 
rund-b91e8823               19676    20196    69972  2998444 
rund-53137b4c               19716    20222    70084  2998444 
rund-85ed2609               19708    20239    70152  2863244 
rund-5ce67305               19748    20265    70208  2998444 
rund-ece84e50               19972    20487    70280  2998444 
rund-8e995a04               20024    20526    69852  2863244 
rund-5c77eb25               20140    20667    70216  2863240 
