Name                          USS      PSS      RSS      VSS 
rund-d17ebbe9               21064    21133    57060  3902476 
rund-eae9c407               21072    21141    57004  3974168 
rund-14c2007b               21072    21143    57420  3974168 
rund-69d9f5c1               21076    21145    56856  3902480 
rund-0bee7ce5               21096    21166    56860  3902480 
rund-1bb62373               21104    21173    56952  3902504 
rund-77aeef77               21104    21173    57036  3902508 
rund-b995f233               21128    21199    57408  3902508 
rund-974a8a0d               21144    21215    57296  3902480 
rund-0462aedb               21148    21217    57136  3767276 
rund-a6d9a747               21148    21218    57112  3902476 
rund-c28583f3               21152    21221    57068  3902480 
rund-aaf2861f               21204    21273    57000  3902508 
rund-4021f06e               21220    21288    56920  4039708 
rund-25876222               21224    21293    57088  4039704 
rund-9964c5ff               21228    21297    57112  3902476 
rund-b72ab978               21280    21349    57200  3902508 
rund-b8fcfbc2               21296    21365    57212  3902508 
rund-a8720757               21300    21369    57228  3902476 
rund-a5c4d6aa               21392    21462    57288  4039708 
rund-3a33f26d               21416    21486    57404  4039736 
rund-fe245b36               21432    21501    57368  3902476 
rund-8ba8bdef               21460    21529    57360  3974168 
rund-32c360cb               21468    21538    57552  3974172 
rund-21dae70f               21500    21568    57360  3974168 
rund-f13ae148               21508    21577    57436  3902476 
rund-1a68fee4               21512    21581    57320  3767276 
rund-c02cdea6               21512    21582    57584  3902476 
rund-8de9c75e               21512    21583    57752  3767276 
rund-3a8fe266               21516    21586    57616  3902476 
rund-2917b81d               21520    21589    57220  3902476 
rund-3afe568f               21528    21597    57360  4039704 
rund-4dfca185               21528    21597    57336  4039700 
rund-e6c5c135               21528    21597    57260  3974168 
rund-b30181c5               21536    21605    57492  3902508 
rund-87b5f003               21540    21610    57412  3974172 
rund-77d0cd1c               21544    21613    57428  3902472 
rund-9134a586               21544    21614    57432  3902476 
rund-e753d8f8               21548    21617    57424  4039700 
rund-38cd6f39               21552    21623    57780  3902476 
rund-c908cc45               21556    21627    57820  3767276 
rund-e6a7be90               21560    21631    57784  3902476 
rund-bf77455e               21568    21637    57412  4105240 
rund-4408ee7e               21568    21638    57836  3902504 
rund-c9c0ac65               21568    21638    57252  3974164 
rund-e92ff34e               21568    21638    57560  3974168 
rund-9997a356               21576    21647    57916  3767276 
rund-7e801f60               21588    21658    57644  4105240 
rund-aeb65689               21592    21663    57428  3902476 
rund-ad3e6d77               21596    21665    57372  3767276 
rund-3904408f               21604    21673    57480  3974168 
rund-de7d774a               21604    21674    57616  3902472 
rund-ac765140               21616    21686    57628  3902480 
rund-7296b1e8               21620    21690    57572  3902484 
rund-837aeaaf               21624    21693    57408  3902476 
rund-765a4100               21624    21695    57984  3974168 
rund-5879c4a3               21640    21710    57500  3974164 
rund-c8396f05               21640    21710    57664  4039704 
rund-f7ecc1b1               21640    21710    57376  4039700 
rund-d5381f9f               21648    21718    57616  4039700 
rund-3ab3933d               21660    21729    57492  3974164 
rund-e711b750               21664    21733    57612  4105240 
rund-bea0346b               21668    21740    57836  3902480 
rund-be8212a4               21672    21741    57368  3974164 
rund-f2777b40               21672    21741    57412  3902480 
rund-0e85d23b               21684    21754    57628  3902476 
rund-82cee617               21704    21774    57824  3902480 
rund-beb5b103               21708    21778    57700  3974172 
rund-060f85b0               21776    21846    57724  3902476 
rund-0a8a79ce               21820    21890    57928  3767272 
rund-e5815242               21872    21941    57860  3902476 
rund-e9802ee9               21896    21964    57612  3974168 
rund-762d993d               21900    21970    58116  4039704 
rund-379620ae               21908    21979    58108  3902472 
rund-ccd1a174               21912    21982    57796  4039700 
rund-139e044b               21912    21983    58276  3974164 
rund-51092e26               21912    21983    58212  3974200 
rund-f5db039f               21920    21991    58236  4037648 
rund-b731d7c8               21928    21998    57748  3902504 
rund-d23cfa47               21964    22033    57768  3904524 
rund-7a513410               22032    22101    57788  3902476 
rund-1c31b7a6               22072    22142    57980  3902472 
rund-57aed79a               22172    22241    57952  3974164 
rund-ce69bd17               22204    22274    58100  4039704 
rund-93b800db               22296    22364    57968  3974200 
rund-f71bf5a5               23036    23104    58888  3902476 
rund-bd817f26               23060    23129    58948  3902480 
rund-34e00cd4               23064    23134    59088  3767280 
rund-bf6d41d6               23084    23155    59204  3902480 
rund-c909e26a               23096    23166    59216  3902480 
rund-afaf082e               23100    23169    59012  3902508 
rund-7606cddc               23104    23174    58992  3902480 
rund-2be3a070               23112    23181    58964  3902476 
rund-edbec13b               23112    23182    59096  3974168 
rund-149b001f               23128    23198    59064  3767276 
rund-0602d136               23132    23202    59204  3902476 
rund-f05d9de6               23140    23210    59200  3902476 
rund-ab7937b1               23148    23217    58964  3974196 
rund-25087192               23148    23218    59380  3902476 
rund-07a8e790               23152    23221    59036  4039708 
rund-0bd23c07               23156    23225    58984  3974168 
rund-b59f549c               23160    23230    59128  3974172 
rund-4d758b35               23168    23237    58908  3767276 
rund-250d6c89               23172    23242    58784  3974168 
rund-3b9cd6f7               23172    23243    59236  3902480 
rund-e7ee82de               23180    23250    59236  3974172 
rund-0a953617               23188    23257    59028  3902472 
rund-57da1e85               23188    23258    59144  3902480 
rund-e9f15da1               23192    23263    59292  3767280 
rund-bd42adcd               23196    23265    58956  3902484 
rund-4c2f45fd               23212    23281    59060  3974168 
rund-5d3e7ff3               23220    23291    59324  3902476 
rund-cb80d4aa               23224    23293    59212  3902480 
rund-e9f86787               23224    23293    59112  3902476 
rund-b671ace3               23232    23300    58896  3902480 
rund-83f9a88b               23252    23321    59192  3767276 
rund-94df645c               23252    23321    59008  3902556 
rund-14015587               23256    23325    59040  3902504 
rund-192b84cc               23256    23327    59280  3902476 
rund-4ffc3bc5               23324    23394    59320  3902476 
rund-134482ac               23328    23398    59536  3974168 
rund-03b1c34a               23328    23399    59688  3970076 
rund-936e166d               23328    23400    59472  3902480 
rund-63912050               23332    23401    59180  3902476 
rund-bc680a06               23380    23449    59212  3767280 
rund-f2ab4c36               23380    23449    59140  3974172 
rund-0c374514               23408    23479    59408  3974168 
rund-0a56cbcd               23436    23505    59396  3974168 
rund-c1ed4d1e               23436    23505    59140  3902476 
rund-fd3a6aa2               23436    23508    59476  3972116 
rund-982054f1               23440    23510    59664  3767308 
rund-4d8a88c6               23448    23518    59628  3767276 
rund-a876231a               23448    23518    59604  3974248 
rund-cf2a5b73               23460    23529    59496  3767276 
rund-6f87f7c6               23472    23540    59136  3902472 
rund-67d933bc               23472    23541    59344  3974168 
rund-e5ae4ecd               23472    23541    59400  4039704 
rund-a3adf952               23476    23545    59208  3902476 
rund-371d384c               23488    23558    59528  3767276 
rund-57bd4fc5               23504    23573    59364  3767280 
rund-d09d7599               23512    23583    59348  3767276 
rund-88cf0649               23516    23585    59368  3902476 
rund-05795431               23516    23586    59716  3902476 
rund-1d957266               23520    23589    59300  3767276 
rund-ddf6e3e4               23528    23598    59592  3902472 
rund-a7e63e94               23528    23599    59860  3902472 
rund-29b144da               23532    23601    59436  3974164 
rund-9571a294               23532    23601    59388  3902476 
rund-53780676               23532    23602    59544  3902472 
rund-75314f1b               23544    23613    59308  3902476 
rund-dc398e65               23544    23613    59428  4105268 
rund-508f8018               23544    23614    59572  3902476 
rund-fb4dabf3               23544    23614    59540  3974164 
